bairro_resid__estadia,obitos,faixa_etaria_media_dos_contaminados,total_de_casos,mortalidade
ABOLICAO,13,49.8,71,18,3
ACARI,12,47.0,65,18,5
AGUA SANTA,5,50.9,29,17,2
ALTO DA BOA VISTA,9,51.7,64,14,1
ANCHIETA,46,47.0,275,16,7
ANDARAI,22,54.4,160,13,8
ANIL,34,51.4,244,13,9
BANCARIOS,9,48.1,51,17,6
BANGU,198,50.1,1053,18,8
BARRA DA TIJUCA,106,50.9,1500,7,1
BARRA DE GUARATIBA,2,50.3,15,13,3
BARROS FILHO,5,44.8,57,8,8
BENFICA,30,46.6,189,15,9
BENTO RIBEIRO,17,48.1,166,10,2
BONSUCESSO,63,49.5,449,14,0
BOTAFOGO,61,52.3,850,7,2
BRAS DE PINA,37,51.2,246,15,0
CACHAMBI,23,50.0,214,10,7
CACUIA,13,50.4,65,20,0
CAJU,17,49.5,95,17,9
CAMORIM,6,52.7,43,14,0
CAMPINHO,3,50.2,56,5,4
CAMPO DOS AFONSOS,1,48.0,10,10,0
CAMPO GRANDE,244,49.2,1490,16,4
CASCADURA,10,45.6,151,6,6
CATETE,12,55.5,128,9,4
CATUMBI,21,52.8,91,23,1
CAVALCANTE,10,51.7,52,19,2
CENTRO,51,50.6,455,11,2
CIDADE DE DEUS,31,53.5,111,27,9
CIDADE NOVA,5,50.2,31,16,1
CIDADE UNIVERSITARIA,1,40.6,18,5,6
COCOTA,5,50.6,34,14,7
COELHO NETO,37,52.2,168,22,0
COLEGIO,24,48.3,126,19,0
COMPLEXO DO ALEMAO,5,55.8,12,41,7
COPACABANA,186,57.5,1701,10,9
CORDOVIL,22,49.3,153,14,4
COSME VELHO,6,56.1,47,12,8
COSMOS,40,47.6,242,16,5
COSTA BARROS,20,47.6,96,20,8
CURICICA,29,51.6,179,16,2
DEL CASTILHO,16,48.9,154,10,4
DEODORO,9,50.4,52,17,3
ENCANTADO,11,51.0,67,16,4
ENGENHEIRO LEAL,3,46.4,21,14,3
ENGENHO DA RAINHA,18,48.7,126,14,3
ENGENHO DE DENTRO,33,49.0,257,12,8
ENGENHO NOVO,32,50.5,242,13,2
ESTACIO,16,53.8,78,20,5
FLAMENGO,60,56.5,590,10,2
FREGUESIA-ILHA,12,47.9,108,11,1
FREGUESIA-JPA,52,51.7,337,15,4
GALEAO,9,46.2,96,9,4
GAMBOA,6,52.4,31,19,4
GARDENIA AZUL,18,48.1,106,17,0
GAVEA,20,50.3,374,5,3
GLORIA,13,55.2,89,14,6
GRAJAU,21,51.9,265,7,9
GUADALUPE,24,47.6,235,10,2
GUARATIBA,61,48.2,310,19,7
HIGIENOPOLIS,18,53.4,82,22,0
HONORIO GURGEL,17,50.2,85,20,0
HUMAITA,14,51.6,187,7,5
INDEFINIDO,84,46.2,3087,2,7
INHAUMA,29,47.5,233,12,4
INHOAIBA,34,46.1,206,16,5
IPANEMA,44,56.5,546,8,1
IRAJA,74,50.8,476,15,5
ITANHANGA,23,48.9,185,12,4
JACARE,25,52.8,197,12,7
